,start_verse_num,end_verse_num,start_verse,end_verse,avg_embedding
10,807,808,2 Nephi 8 5,2 Nephi 8.6,[-0.03153514 -0.03159608]
11,808,811,2 Nephi 8 6,2 Nephi 8.9,[-0.03159608 -0.03154826 -0.03155121 -0.03153648]
12,811,812,2 Nephi 8 9,2 Nephi 8.10,[-0.03153648 -0.03155036]
13,812,853,2 Nephi 8 10,2 Nephi 9.26,"[-0.03155036 -0.03151815 -0.03155242 -0.03159609 -0.03160087 -0.03151236
 -0.03154834 -0.03151732 -0.0315786  -0.03154215 -0.03155309 -0.03152901
 -0.03154835 -0.03156562 -0.03154996 -0.03154215 -0.03152347 -0.03153403
 -0.03155378 -0.03157151 -0.03151185 -0.03153697 -0.03155323 -0.03153225
 -0.03154452 -0.03156214 -0.03152895 -0.03154906 -0.03156001 -0.03156265
 -0.03156987 -0.03156039 -0.0315237  -0.03155041 -0.03157264 -0.03157772
 -0.03156289 -0.03154039 -0.03153418 -0.03151916 -0.03154994 -0.03158477]"
14,853,854,2 Nephi 9 26,2 Nephi 9.27,[-0.03158477 -0.0315872 ]
15,854,856,2 Nephi 9 27,2 Nephi 9.29,[-0.0315872  -0.03156537 -0.03155739]
16,856,858,2 Nephi 9 29,2 Nephi 9.31,[-0.03155739 -0.03156939 -0.03152174]
17,858,863,2 Nephi 9 31,2 Nephi 9.36,[-0.03152174 -0.0315614  -0.03161987 -0.03150585 -0.03155028 -0.03155854]
18,863,947,2 Nephi 9 36,2 Nephi 13.11,"[-0.03155854 -0.03146478 -0.03162063 -0.03159886 -0.03155721 -0.0315568
 -0.03157163 -0.03153417 -0.03156285 -0.03155644 -0.03155839 -0.03154625
 -0.03154799 -0.03153025 -0.0315395  -0.03158064 -0.0315686  -0.03157084
 -0.03153206 -0.0315503  -0.03156591 -0.031573   -0.03153403 -0.031554
 -0.03156275 -0.03154495 -0.03153384 -0.03151902 -0.0315137  -0.03151381
 -0.03156855 -0.03154181 -0.03151086 -0.03157181 -0.03154058 -0.03151344
 -0.03153562 -0.03155266 -0.03156647 -0.03155092 -0.03154126 -0.03155606
 -0.03155661 -0.03155805 -0.03158052 -0.0315607  -0.03156028 -0.03153591
 -0.03155315 -0.03150619 -0.03150802 -0.0315945  -0.0315662  -0.0315506
 -0.03153524 -0.03154569 -0.03154498 -0.03154465 -0.03158792 -0.03156975
 -0.03154113 -0.03153675 -0.03153649 -0.03149704 -0.03148959 -0.03155904
 -0.0315513  -0.03153131 -0.0315364  -0.03156655 -0.03154957 -0.03158109
 -0.03154844 -0.03155371 -0.03151017 -0.03155391 -0.03157413 -0.03154852
 -0.0315284  -0.03153204 -0.03155255 -0.03152026 -0.03156163 -0.03154136
 -0.03153343]"
19,947,953,2 Nephi 13 11,2 Nephi 13.17,"[-0.03153343 -0.03155577 -0.031553   -0.03151894 -0.03153872 -0.0315107
 -0.03151651]"
20,953,967,2 Nephi 13 17,2 Nephi 14.5,"[-0.03151651 -0.03144402 -0.03157324 -0.03159199 -0.03155794 -0.03153571
 -0.03155864 -0.03158493 -0.03149915 -0.03152883 -0.03155445 -0.03153478
 -0.03151239 -0.03152107 -0.03153928]"
21,967,968,2 Nephi 14 5,2 Nephi 14.6,[-0.03153928 -0.03150539]
22,968,978,2 Nephi 14 6,2 Nephi 15.10,"[-0.03150539 -0.03158984 -0.03152549 -0.0315524  -0.03158227 -0.03152834
 -0.03155195 -0.03152558 -0.03156556 -0.03153159 -0.03145427]"
23,978,979,2 Nephi 15 10,2 Nephi 15.11,[-0.03145427 -0.03155482]
